item,task,worker,tstart,tproc
7,19,1,1155.000000,18.600000
3,31,4,1158.600000,15.000000
11,12,2,1159.200000,30.600000
0,36,3,1164.000000,21.000000
1,34,6,1171.800000,18.000000
3,32,4,1173.600000,30.000000
7,20,1,1173.600000,8.400000
2,34,0,1174.200000,18.000000
7,21,1,1182.000000,18.000000
0,37,3,1185.000000,57.600000
1,35,6,1189.800000,18.000000
9,26,2,1189.800000,31.200000
10,3,0,1192.200000,42.600000
4,28,5,1194.600000,43.800000
7,22,1,1200.000000,18.000000
3,33,4,1203.600000,25.200000
1,36,6,1207.800000,21.000000
2,35,1,1218.000000,18.000000
5,27,2,1221.000000,60.000000
3,34,4,1228.800000,18.000000
7,23,6,1228.800000,18.000000
10,11,0,1234.800000,31.200000
2,36,1,1236.000000,21.000000
4,29,5,1238.400000,14.400000
0,38,3,1242.600000,22.800000
1,37,4,1246.800000,57.600000
11,7,6,1246.800000,16.800000
3,35,5,1252.800000,18.000000
12,12,1,1257.000000,30.600000
11,8,6,1263.600000,35.400000
0,39,3,1265.400000,7.200000
4,30,0,1266.000000,25.200000
3,36,5,1270.800000,21.000000
9,17,3,1272.600000,12.000000
5,28,2,1281.000000,43.800000
9,18,3,1284.600000,21.000000
10,12,1,1287.600000,30.600000
4,31,0,1291.200000,15.000000
12,16,5,1291.800000,18.000000
11,9,6,1299.000000,21.600000
0,40,4,1304.400000,25.800000
9,19,3,1305.600000,18.600000
1,38,0,1306.200000,22.800000
12,1,5,1309.800000,15.600000
10,9,1,1318.200000,21.600000
11,2,6,1320.600000,16.800000
9,20,3,1324.200000,8.400000
4,32,2,1324.800000,30.000000
5,29,5,1325.400000,14.400000
1,39,0,1329.000000,7.200000
0,41,4,1330.200000,9.600000
2,37,3,1332.600000,57.600000
6,27,0,1336.200000,60.000000
9,21,6,1337.400000,18.000000
0,42,4,1339.800000,21.000000
10,24,5,1339.800000,14.400000
11,3,1,1339.800000,42.600000
10,25,5,1354.200000,29.400000
4,33,2,1354.800000,25.200000
5,30,6,1355.400000,25.200000
0,43,4,1360.800000,10.800000
0,44,4,1371.600000,82.800000
4,34,2,1380.000000,18.000000
5,31,6,1380.600000,15.000000
9,22,1,1382.400000,18.000000
10,26,5,1383.600000,31.200000
1,40,3,1390.200000,25.800000
2,38,6,1395.600000,22.800000
5,32,0,1396.200000,30.000000
4,35,2,1398.000000,18.000000
9,23,1,1400.400000,18.000000
12,7,5,1414.800000,16.800000
1,41,3,1416.000000,9.600000
3,37,2,1416.000000,57.600000
2,39,6,1418.400000,7.200000
4,36,1,1418.400000,21.000000
1,42,3,1425.600000,21.000000
6,28,6,1425.600000,43.800000
5,33,0,1426.200000,25.200000
7,27,5,1431.600000,60.000000
10,17,1,1439.400000,12.000000
1,43,3,1446.600000,10.800000
5,34,1,1451.400000,18.000000
10,18,0,1451.400000,21.000000
0,45,4,1454.400000,100.800000
1,44,3,1457.400000,82.800000
5,35,6,1469.400000,18.000000
8,13,1,1469.400000,94.800000
10,19,0,1472.400000,18.600000
2,40,2,1473.600000,25.800000
5,36,6,1487.400000,21.000000
6,29,0,1491.000000,14.400000
3,38,5,1491.600000,22.800000
2,41,2,1499.400000,9.600000
4,37,0,1505.400000,57.600000
10,20,6,1508.400000,8.400000
2,42,2,1509.000000,21.000000
3,39,5,1514.400000,7.200000
6,30,6,1516.800000,25.200000
10,21,5,1521.600000,18.000000
2,43,2,1530.000000,10.800000
10,22,5,1539.600000,18.000000
1,45,3,1540.200000,100.800000
2,44,2,1540.800000,82.800000
6,31,6,1542.000000,15.000000
11,24,4,1555.200000,14.400000
0,46,6,1557.000000,97.800000
10,23,5,1557.600000,18.000000
3,40,0,1563.000000,25.800000
4,38,1,1564.200000,22.800000
8,14,4,1569.600000,14.400000
11,25,5,1575.600000,29.400000
8,15,4,1584.000000,6.000000
4,39,1,1587.000000,7.200000
3,41,0,1588.800000,9.600000
5,37,4,1590.000000,57.600000
6,32,1,1594.200000,30.000000
3,42,0,1598.400000,21.000000
11,26,5,1605.000000,31.200000
3,43,0,1619.400000,10.800000
2,45,2,1623.600000,100.800000
7,28,1,1624.200000,43.800000
3,44,0,1630.200000,82.800000
6,33,5,1636.200000,25.200000
11,17,3,1641.000000,12.000000
4,40,4,1647.600000,25.800000
11,18,3,1653.000000,21.000000
0,47,6,1654.800000,80.400000
1,46,5,1661.400000,97.800000
5,38,1,1668.000000,22.800000
4,41,4,1673.400000,9.600000
6,34,3,1674.000000,18.000000
4,42,4,1683.000000,21.000000
5,39,1,1690.800000,7.200000
6,35,3,1692.000000,18.000000
5,40,1,1698.000000,25.800000
4,43,4,1704.000000,10.800000
6,36,3,1710.000000,21.000000
3,45,0,1713.000000,100.800000
4,44,4,1714.800000,82.800000
